tari,C1,C2,C3,C4,C5
Alba,0.5883947216710875,0.3012503722968327,-0.23293747465440087,0.08519778341208574,0.43752767437325824
Arad,-0.3456962624992685,0.08509937283141707,3.442971508427823,-1.4510251073899918,0.3364163328550846
Arges,-0.4325668423439958,-0.8807840905186385,0.9261692887771655,-1.0581572385616,-0.31676502566435694
Bacau,-0.7204427398756889,-0.7787167281040089,0.6078253376716138,-0.6738135475648213,-0.7524833074592493
Bihor,-0.5046853380088959,0.40191786745421615,0.7622867746731506,0.1836630319520217,-1.651873532187653
Bistrita-Nasaud,0.7739789668111434,1.3290797690650025,-0.543146803634943,1.0764233904554434,0.4848432720127249
Botosani,0.2239563559141074,0.015964398887454802,-0.3521718172165554,0.05081670146829291,-0.2914726566479118
Brasov,-0.5401157326124797,-0.3757574485556348,1.7748496082718015,0.7314496690988448,-1.265349019754634
Braila,0.608097795942507,0.4605358183436807,0.43461005596123664,-1.8556248180231045,-0.3284188939881725
Buzau,0.1430610833359124,-1.079441944817558,-0.9758280298802662,-0.5345964316620468,1.71860699966
Caras-Severin,0.8447122244998987,-0.06000534576415471,-0.19527027117007892,-0.26307250487002654,0.6723617653252567
Calarasi,0.5837362611090224,0.07202124532199333,0.3038642826677053,-0.534517948812607,-0.5033805366184959
Cluj,-0.6799235633047678,0.4555402039567203,-1.0729856752862112,1.2514464850764921,-0.8451710668160822
Constanta,-0.790372621540032,-0.3627340248926295,0.07271080574900599,0.015855147308132138,-0.31541040066937803
Covasna,1.070635724329792,0.79860419138013,-0.5312570248748906,0.4399318664059615,0.5509839171024192
Dambovita,-0.06560798063618284,-0.25939296899993547,0.4706559321485663,-0.4597122570307844,-0.38646016687191215
Dolj,-0.44427731525461783,-1.4376434790774064,-1.9655017628491886,-0.14357124390378453,-0.8203557439416687
Galati,-0.24470602767134933,-0.6808625079353393,-0.2554384119221856,-0.3380610157717457,1.4651223284501387
Giurgiu,0.8030454878346421,0.042240261738855,-1.0000517067147037,0.14598789443852986,1.3556321702782088
Gorj,0.4949759709678654,0.19893636712801097,0.9143033387033157,-0.506330392267796,1.126740316084046
Harghita,0.7415413659488183,0.8548607474189823,-0.4045284975165725,0.5494517958545277,-1.0820763332618313
Hunedoara,0.20258181566133004,-0.9130600531677135,0.9049051610058358,-1.3765165399127597,0.5563580725652233
Ialomita,0.7575388533453469,0.22286796682499344,-0.26705108876032674,-0.07818762526538131,-0.3470171955062776
Iasi,-1.3781883878485952,1.1945455795430069,0.6645335317116783,1.4463393853584954,0.051581212930730765
Ilfov,-0.1423451277669615,1.7150746874766776,1.617708138421284,0.8927449377044081,2.7273270929160205
Maramures,0.15692900500084242,0.27921956672982357,-0.2269825807869342,0.2637981304285089,-0.2253835736894551
Mehedinti,0.860385119910867,0.1491329098201132,-0.40737715522194123,-0.0858749214979263,1.1216045916618758
Mures,-0.20379425566218978,0.11465630721205225,-0.5221882309434603,0.40390714290246255,-1.6435775876776801
Neamt,-0.043629416823744695,-0.7783961025408724,-0.3587658797385387,-0.5262579836030696,-0.19461016943762008
Olt,0.32295920320264165,-0.8757963653587817,-0.7324768480214399,-0.6155061332187398,-0.12581387312765738
Prahova,-0.8856330922921603,-2.044947925877509,-0.5748391086542959,-1.168804587603988,-1.298615846514475
Satu Mare,0.30789979450381394,-3.8430094083132955,0.4012196208815233,2.678066889267279,0.7226419508134632
Salaj,0.9208676172209402,0.968197458776307,-0.27635307289291233,0.5296845692758498,0.0427458729479508
Sibiu,0.3512910449093836,0.5048851783107098,-0.3253623016599687,0.9971068977812083,-0.29038832154028316
Suceava,-1.0546610892983084,1.233364739912083,0.9750441272771556,2.0263959384140326,-2.04850124860824
Teleorman,0.5936643873970118,1.3541219425060558,-0.26742626913384565,-2.787911343043234,-1.2512539547032713
Timis,-0.9273290309786324,-0.756271530331111,1.6517919455987227,1.0957314223442274,0.7634325815984091
Tulcea,1.0436495200675289,0.21112870553925064,-0.3285118622556099,-0.2074665988530245,0.5591629049300691
Vaslui,0.2415627865510329,0.3567159194762714,0.0008241693588159888,-0.21815461103997394,0.3030712439249515
Valcea,1.0491970563745525,0.6694283429188485,-1.1094680441636635,0.579699644654788,-0.8199751459854444
Vrancea,0.6183187742513765,0.0016495993066368187,-1.0073132574715529,0.290682586699034,0.21070751336550123
Municipiul Bucuresti,-4.899006112343592,1.135780404078459,-1.9930404518819202,-0.8512184604042111,1.597485786876462
