tari,F1,F2,F3,F4,F5
Alba,-0.5543818008271028,0.25474225334289685,0.07700613010200433,0.32719004340961216,0.0
Arad,0.1397630297884036,-0.4298632294425957,-2.2702859656503485,0.6181407169471888,0.0
Arges,0.332697051391949,-1.159579522218392,-0.5142241218321176,0.012479947658417562,0.0
Bacau,0.638288257465509,-0.9309744964586668,-0.24153325312741392,-0.4271114199422979,0.0
Bihor,0.45130743069322365,0.2632974714964666,-0.19535451259386027,-1.3445111257404898,0.0
Bistrita-Nasaud,-0.6761641466246,1.507589909918239,0.2385242980082935,0.11744638301558362,0.0
Botosani,-0.20509134515820443,-0.0436210630474542,0.2898385943078743,-0.23772506477442581,0.0
Brasov,0.4063502388953569,0.4183783740722704,-1.0144643662909976,-1.2133862986788788,0.0
Braila,-0.6292290260446908,-1.0430267397024868,-0.07898781467025352,0.24591149188711425,0.0
Buzau,-0.10507930059343833,-0.9244251123560394,0.3285621037517191,1.4824348400010998,0.0
Caras-Severin,-0.8240524132587675,-0.1628472974011923,0.02038193906174861,0.5985876753490403,0.0
Calarasi,-0.606140422449191,-0.3572409382644765,-0.0653435784824991,-0.25204645543303894,0.0
Cluj,0.7531641927160649,0.8824649845810347,0.8065299126123782,-0.9798395654788884,0.0
Constanta,0.7648187556268701,-0.2269599898426662,-0.002532618569922164,-0.25812525505039763,0.0
Covasna,-0.994690269369686,0.7623963735669073,0.2470011125117631,0.33195619713714314,0.0
Dambovita,0.02001979762577758,-0.4544826470106939,-0.2171787000572467,-0.18808149950654748,0.0
Dolj,0.4932099817319834,-1.3210130878180446,1.440649838206291,-0.6058288902967125,0.0
Galati,0.2508911701477209,-0.48263330834028934,-0.10842323483071632,1.229637544164791,0.0
Giurgiu,-0.7197464885376742,0.1526463643053261,0.4032209460744282,1.0337222483053803,0.0
Gorj,-0.5272865927861292,0.033154180686531504,-0.7868937464738442,1.0119344021065744,0.0
Harghita,-0.6936177666233846,0.6837357014675487,0.46930518234868435,-0.9765576216445839,0.0
Hunedoara,-0.2896819207229381,-1.2957028045925403,-0.6448160650886808,0.7816488910485092,0.0
Ialomita,-0.7350300902165379,-0.01037548792165663,0.2603418983912596,-0.2438576775113527,0.0
Iasi,1.3860187343487869,1.8139321599562719,-0.5241679701717634,-0.3372775459931276,0.0
Ilfov,0.1512978475795775,2.2009359874278602,-1.6198819431169063,1.9050847533871587,0.0
Maramures,-0.13387066317157167,0.28519301665018426,0.1861296816725683,-0.2404310526483824,0.0
Mehedinti,-0.8123453987479459,0.1074012807557146,0.0704774202121551,0.9082932972102875,0.0
Mures,0.21845515510472946,0.06649713526808507,0.6410459089905494,-1.3880093009830263,0.0
Neamt,0.03004664061169864,-0.8974319684726361,0.2909416625678939,-0.019434114000193493,0.0
Olt,-0.31597503639975677,-1.0626578794329007,0.5326295182183655,0.06102980794797133,0.0
Prahova,0.8154073808788893,-2.2521878892687597,0.652026202243236,-0.7292244160380494,0.0
Satu Mare,-0.44705349980096754,-0.10016588365487088,-0.7254573642809168,-0.2234948640389875,0.0
Salaj,-0.8606221994339629,0.8963759462844091,0.17232242316842133,-0.09013890321109001,0.0
Sibiu,-0.30965501692739655,0.9169008924925564,0.21955864178652304,-0.4841088504542842,0.0
Suceava,1.0226187107292424,2.0351914524954045,-0.36872729802617926,-2.1403660955992168,0.0
Teleorman,-0.5581034564715994,-1.4293487270519234,0.6660908102010122,-0.20295141041393822,0.0
Timis,0.8140641609353877,0.7002742282102633,-1.3613071994885513,0.2717185377332538,0.0
Tulcea,-1.0053134613076924,-0.002964582053762841,0.13679235930614322,0.5009395533794533,0.0
Vaslui,-0.22451931298716976,0.08513857808309593,-0.03111078094124025,0.3019642971707556,0.0
Valcea,-0.9614042649277331,0.5283120468550585,0.8846897904177868,-0.7748083159980814,0.0
Vrancea,-0.5513366161564071,0.08657983246102685,0.6162180889987058,0.0977756710529051,0.0
Municipiul Bucuresti,5.0519719732733765,-0.09363551602509686,1.1204060705336487,1.5194194445237807,0.0
