tari,C1,C2,C3,C4,C5
Alba,1.1453777894387833,0.29985284607136303,-0.0891596992209657,0.02009219873370581,0.05841474096029513
Arad,-0.6729374115289889,0.08470458956726315,1.3178399249550705,-0.34219534426456505,0.04491526842660288
Arges,-0.8420409555363727,-0.8766980578405996,0.35450274945061394,-0.24954528952772118,-0.04229160348764353
Bacau,-1.4024243971333783,-0.7751041946440835,0.23265266512435392,-0.1589054921963525,-0.10046477070311868
Bihor,-0.9824278762546873,0.40005333611448834,0.29177469040056886,0.04331326462058527,-0.2205432253402785
Bistrita-Nasaud,1.50663880117846,1.3229140544175884,-0.20789615632593755,0.25385299730194827,0.06473189194611613
Botosani,0.4359567250011079,0.015890338676511417,-0.13479811843807057,0.01198410597085445,-0.03891479495436795
Brasov,-1.0513972017012903,-0.3740142776351533,0.6793456375825482,0.17249782243926992,-0.16893796562517055
Braila,1.183732082607922,0.45839935331960013,0.166352373852263,-0.4376121200076671,-0.04384752266531893
Buzau,0.27848480170017914,-1.0744343213738,-0.373510246750107,-0.12607391081209895,0.22945287481871088
Caras-Severin,1.6443291973486662,-0.059726975836395246,-0.0747421112474558,-0.06204040571873092,0.08976766648953752
Calarasi,1.1363095618285626,0.07168713260916557,0.11630781215793203,-0.12605540219667516,-0.0672068199872045
Cluj,-1.3235491741217342,0.45342691401476454,-0.410698537102544,0.29512870494688986,-0.11283960267409147
Constanta,-1.5385509297592008,-0.361051270747655,0.027830960133459818,0.0037391204079375326,-0.04211074620063103
Covasna,2.084115193529114,0.7948993982782512,-0.20334519646160953,0.10374916030814021,0.07356239313760249
Dambovita,-0.12771345673732973,-0.25818962284598396,0.18014937875148207,-0.10841397109954275,-0.05159666887730694
Dolj,-0.8648367337472262,-1.430974128100119,-0.7523201075907288,-0.03385841567036571,-0.10952648503043287
Galati,-0.47634834017636335,-0.677703928566544,-0.09777221123502432,-0.0797249510606497,0.19560989236659412
Giurgiu,1.563220117037342,0.04204430555430102,-0.38278215863886034,0.03442833452117858,0.18099175595619033
Gorj,0.9635274800602397,0.1980134843174725,0.3499609103106254,-0.11940792892643075,0.15043218417635576
Harghita,1.4434952918946424,0.8508949753452952,-0.15483828533128366,0.12957725230366365,-0.14446905283717343
Hunedoara,0.394348731653605,-0.9088242895402638,0.34636364156726107,-0.3246239840112663,0.07427990180648782
Ialomita,1.4746362353394977,0.2218340632779859,-0.10221710691175084,-0.01843899268775706,-0.04633059980332585
Iasi,-2.6828017162034152,1.1890039804996528,0.2543584277178473,0.3410903101369474,0.006886657389347129
Ilfov,-0.27709111209573745,1.7071183094111058,0.619197796588738,0.21053609599334125,0.3641280654415709
Maramures,0.3054803012783805,0.2779242432943899,-0.08688038994750583,0.06221153004078946,-0.03009117787265573
Mehedinti,1.674838285276812,0.14844106950481278,-0.1559286442980879,-0.02025188825197724,0.14974650866521405
Mures,-0.3967088851302845,0.11412440680302482,-0.19987400342827355,0.09525344745070423,-0.21943562580325443
Neamt,-0.08492966227528191,-0.7747850564903389,-0.137322077418808,-0.12410745407083251,-0.02598259104917671
Olt,0.6286771186399804,-0.8717334711640687,-0.28036457230768186,-0.1451548509264552,-0.016797531306999625
Prahova,-1.7239863583794504,-2.035461237664166,-0.22002677801889156,-0.2756392609584616,-0.17337945168780827
Satu Mare,0.5993622529377002,-3.825181359199542,0.15357177187749965,0.6315686864886499,0.09648062245269222
Salaj,1.7925744010461744,0.9637059080115506,-0.10577755637850159,0.12491554599010893,0.005707042643538092
Sibiu,0.6838282969725038,0.5025429728151265,-0.12453644479868946,0.23514778374066228,-0.03877002433039081
Suceava,-2.0530187348330076,1.2276430554658366,0.37321019833404356,0.477885084296846,-0.2734973735448934
Teleorman,1.155635797979544,1.3478400550756513,-0.10236071183966632,-0.6574733110771434,-0.1670561199225569
Timis,-1.8051522837732934,-0.7527631220620836,0.6322437953090149,0.25840641170229456,0.1019266188329735
Tulcea,2.031583452769324,0.21014926142872242,-0.12574197806808807,-0.048926861331578635,0.07465437767538965
Vaslui,0.47022966094036295,0.3550610838367011,0.0003154610147988973,-0.05144741593204017,0.04046333350627597
Valcea,2.0423823682560642,0.6663228076188623,-0.42466261497712365,0.13671060442882824,-0.10947567103094197
Vrancea,1.2036283887951464,0.0016419466744592558,-0.3855616069964895,0.06855169308966039,0.028131762931944884
Municipiul Bucuresti,-9.536477104123069,1.1305114217068448,-0.7628608813959782,-0.20074290418469234,0.21328186511130848
