,F1,F2,F3,F4,F5
mortalitate,0.9699827342907352,-0.18605013854483704,0.13914330407374553,0.012672613895174888,0.0
nuptialitate,0.9918944087682569,0.06640086515834899,0.0212012071243742,0.07930426988123321,0.0
natalitate,0.9776611483958877,0.1698024433765149,0.04584581294066161,-0.09080001822639365,0.0
sporNatural,-0.158419705944897,0.5298478173454884,0.04549417974836822,0.02349914123014671,0.0
divortialitate,0.9219630981982943,0.03528542400886794,-0.20999805445427008,0.0016711065518080083,0.0
