,F1,F2,F3,F4,F5
mortalitate,0.9223891442406082,0.3416956782981986,0.16432946456153313,0.020994527441953785,0.0
nuptialitate,0.9883268144783791,0.1049203425937254,0.027779568212673172,0.08020209802358523,0.0
natalitate,0.992173842440203,0.007016916925952615,0.03881693305966449,-0.09505654998811229,0.0
sporNatural,-0.06176857539644724,-0.5519399504834219,-3.3541380258465455e-06,-0.0020921160526467574,0.0
divortialitate,0.9126163583771192,0.14581705875798967,-0.20275705330633323,0.011015270798136035,0.0
