tari,F1,F2,F3,F4,F5
Alba,-0.49900662309917776,-0.3692764489244717,0.05882208880063468,0.3104566339252663,0.0
Arad,0.05260139374504398,0.6050271195933589,-2.2068088148640403,0.7083661093462807,0.0
Arges,0.11962027867922338,1.2368188122846422,-0.41138809717659564,0.08138943991472646,0.0
Bacau,0.46068244920959456,1.0648737432713988,-0.16799259273420575,-0.37480924582260544,0.0
Bihor,0.48529390494793506,-0.09908428736714553,-0.24927828975713265,-1.3458863148123568,0.0
Bistrita-Nasaud,-0.39689633927274115,-1.6217176846200696,0.10775958536649306,0.04007121555069257,0.0
Botosani,-0.20898538167572167,-0.006443021353808535,0.2836945165755933,-0.24553185772764555,0.0
Brasov,0.46502392865310255,-0.19722232460362427,-1.0749658183445439,-1.1962064331403335,0.0
Braila,-0.8035523335758623,0.9055388787652746,0.009106496154813655,0.29114522430769096,0.0
Buzau,-0.2605343047047361,0.7904958015614425,0.44463675846083844,1.5102006407923796,0.0
Caras-Severin,-0.8377217920673428,-0.015883620933754294,0.04217318968301256,0.6004128432517338,0.0
Calarasi,-0.6609900837919023,0.2599523416403417,-0.048275250866492106,-0.23666619530992986,0.0
Cluj,0.8980922810500159,-0.7523013569270601,0.7099491589992624,-1.03924103986417,0.0
Constanta,0.7116260379881223,0.36988088005199626,0.017069857277816385,-0.24408761542010704,0.0
Covasna,-0.8415983427976836,-0.9587705540826704,0.1813183038685797,0.2854055982508674,0.0
Dambovita,-0.0624764162989748,0.47554885747111453,-0.1832681570653094,-0.1608081811235083,0.0
Dolj,0.25629659344286176,1.2902905199990742,1.5337969737969206,-0.5897130982690647,0.0
Galati,0.16509198571974945,0.4686836517639498,-0.03101465339969304,1.2537000197587838,0.0
Giurgiu,-0.67586957704324,-0.35855861281948115,0.4101801101554647,1.0094023239154195,0.0
Gorj,-0.5134144708695928,-0.10784131923116493,-0.7638881366026765,1.0313069857037254,0.0
Harghita,-0.5625983981404609,-0.7857204018675994,0.37616116506501196,-1.0232993348009793,0.0
Hunedoara,-0.5150332401196619,1.2349598425660175,-0.5150708227485662,0.8566452685159687,0.0
Ialomita,-0.7248105766580091,-0.1300086159408575,0.2460034244200928,-0.2546587091225308,0.0
Iasi,1.6816949562912402,-1.4726468015912269,-0.6693109891461977,-0.3938810587353071,0.0
Ilfov,0.5374102848546346,-2.0841745326161307,-1.7435286453591567,1.8568495503945752,0.0
Maramures,-0.08116098857687282,-0.3072430061242104,0.15350687576712613,-0.259148661764572,0.0
Mehedinti,-0.7770418535749533,-0.2971822245605009,0.07813129843459683,0.8962075908486955,0.0
Mures,0.22514298790806425,-0.014739863541383852,0.596741592217785,-1.4080650000534767,0.0
Neamt,-0.12804720456155064,0.8612668140239407,0.36470545761971185,0.011179986622592423,0.0
Olt,-0.4964215176144473,0.9381425095220781,0.6180032614045514,0.08959414631925762,0.0
Prahova,0.40425747529408385,2.3305858397220782,0.8261005519933544,-0.6454837860631959,0.0
Satu Mare,-0.4619646903484032,0.08960779507326046,-0.7249108827629882,-0.1979688297663888,0.0
Salaj,-0.6877145323229543,-1.040392468492885,0.08538924020468362,-0.1390012871412482,0.0
Sibiu,-0.14294349080191626,-0.9485514380243031,0.12538685687434986,-0.532218297708585,0.0
Suceava,1.3578596377118457,-1.682272198023916,-0.5865863491273795,-2.210650137491338,0.0
Teleorman,-0.7999198154107677,1.2558200855984696,0.7718889569479138,-0.16314145315113435,0.0
Timis,0.9195893874915592,-0.4419433644447753,-1.3988211174899936,0.28707770767225,0.0
Tulcea,-0.9875679361723854,-0.20964842592408114,0.14020140355298125,0.49134224867326465,0.0
Vaslui,-0.20501023505157295,-0.13465020856343551,-0.03202972650609891,0.2976945386074645,0.0
Valcea,-0.8509929072419986,-0.7246699957456799,0.8057967861005966,-0.829320046714404,0.0
Vrancea,-0.5239813886206561,-0.23795237797734875,0.6036681142793284,0.07183261626429689,0.0
Municipiul Bucuresti,4.965970857426509,0.8214016613931375,1.2169463199295527,1.5095058953669815,0.0
