tari,C1,C2,C3,C4,C5
Alba,0.8243055916438009,0.21607568287852447,0.1291901597580231,0.017282529281744487,0.4557868234344493
Arad,0.28453787120467394,0.01724262680071553,28.223935256775647,5.013033005419383,0.26946654526586006
Arges,0.44550969784632183,1.847096700263678,2.042356074938099,2.665944622667412,0.2389049559146168
Bacau,1.2358041462847358,1.443808911021459,0.8796467645609805,1.08101118305212,1.3481693523923857
Bihor,0.6064459295265555,0.384614219473678,1.383526492479989,0.08031454596621283,6.496871824623972
Bistrita-Nasaud,1.4262939073001064,4.205840553661617,0.7024010721401325,2.7587793226656996,0.5596976152761935
Botosani,0.11942011751030075,0.0006068143615184953,0.2952975924800263,0.006148421781232399,0.2022769275556907
Brasov,0.6945833443226559,0.33617538129771546,7.500216980910881,1.2738538533924058,3.812162242366636
Braila,0.8804355462622254,0.5049839047082941,0.4497283351014987,8.198436822055442,0.25680707125812546
Buzau,0.048729698964868715,2.7742736005512185,2.267238914047626,0.6804603446328428,7.032404807810235
Caras-Severin,1.6989017671894444,0.008572956000656566,0.09078685429246713,0.16477891147283394,1.0763579606459244
Calarasi,0.8113048155560488,0.012350142327930344,0.21984167209799815,0.6802605657210409,0.6033142015388588
Cluj,1.10070488556441,0.49408780338316716,2.7411863318319236,3.728853107167403,1.7007479337691025
Constanta,1.487354478285862,0.3132761257495398,0.01258776493492783,0.0005985373718156432,0.23686600202479988
Covasna,2.7291925100266123,1.5184967964045502,0.6719857773307628,0.46080963590341206,0.7228173259655254
Dambovita,0.010248588388470809,0.1602016961109558,0.5274214439681812,0.5031794268198532,0.3555987156634851
Dolj,0.469957935356788,4.920997078413782,9.198088523245886,0.04907786208590482,1.6023417776620894
Galati,0.14257390471116937,1.1037470350285712,0.15535424353649577,0.27210773901101115,5.1109129460074305
Giurgiu,1.535433465551376,0.004248189789921373,2.38119860976903,0.05074396505379851,4.375568050221848
Gorj,0.5833362186561452,0.0942278051573589,1.9903585599143592,0.6104058717477631,3.022723190212273
Harghita,1.3092466605077118,1.7399688035184304,0.3896269173881328,0.7188030380184907,2.787831407155596
Hunedoara,0.09771283818247876,1.9849491921205418,1.949650834321425,4.511423296793808,0.7369864402582981
Ialomita,1.3663455103042441,0.1182622158016818,0.16980067620970474,0.01455548748723739,0.28671650946914307
Iasi,4.5223886485731155,3.3974741466803278,1.051440035164754,4.980708613426651,0.006334813160488913
Ilfov,0.04824317952141091,7.003526627674338,6.230903859796329,1.8976036280877353,17.710269218461022
Maramures,0.058635030025129535,0.18562753915426278,0.12266926662070754,0.16568917527994453,0.12094703640245051
Mehedinti,1.762529891819134,0.052953868550985744,0.39513368237314705,0.017558338433988137,2.9952306191356723
Mures,0.09888594914501415,0.03130016377024881,0.6492394012758596,0.38843090497054894,6.4317792540865195
Neamt,0.004532204791381084,1.4426202201210003,0.30645942015373273,0.659398726918974,0.09017409059175853
Olt,0.24833963555544078,1.826236365656315,1.277434125922438,0.902018571499728,0.03768840636043336
Prahova,1.867490414673746,9.956695284644582,0.7867619067582516,3.252628961914598,4.015245516234473
Satu Mare,0.2257197225130733,35.16362217234404,0.3832790099531273,17.076291103308886,1.2433604501797124
Salaj,2.0190408772527895,2.2319198075735676,0.18183576404132237,0.6680136736403405,0.004350499176386481
Sibiu,0.29382237674649164,0.6069262935186597,0.25204911271779185,2.367195632387778,0.20077470782614643
Suceava,2.648357174475937,3.621877575377142,2.263597738423026,9.776858331478321,9.991327060832026
Teleorman,0.839136678246355,4.365824369467554,0.17027811767344794,18.50583251587891,3.727705855144168
Timis,2.0474741230851636,1.3617776847365723,6.496230075106706,2.858636547410727,1.3876888253476238
Tulcea,2.593343620802816,0.10613173881590376,0.2569524848634498,0.10248188009438534,0.7444360815472106
Vaslui,0.13893471391976153,0.3029672552566706,1.617274123836092e-06,0.11331293885238665,0.21869566403384752
Valcea,2.620986816916726,1.0669864435787506,2.930760335762729,0.8001230428878285,1.6008553334139044
Vrancea,0.9102812061707724,6.478994934420647e-06,2.415904758757029,0.20118182430962275,0.10570870521112415
Municipiul Bucuresti,57.14347830661872,3.0714217292586348,9.45764343532784,1.7251734936498015,6.076097236362541
