,Comunalitate,Varianta specifica
mortalitate,0.9950026130861789,0.0049973869138211224
nuptialitate,0.9950022514444326,0.0049977485555674495
natalitate,0.9950006727335036,0.004999327266496434
sporNatural,0.3084574428069768,0.6915425571930232
divortialitate,0.895362991058569,0.10463700894143102
