,C1,C2,C3,C4,C5
mortalitate,0.9358944222075992,0.9401157507792124,0.9744941642462533,0.9985441975811701,1.0000000000000004
nuptialitate,0.9764084575477449,0.9822957880461365,0.9866324314802617,0.9877642124656149,0.9999999999999989
natalitate,0.9475024525424967,0.9651961324230738,0.9692868635668689,0.9960142741039739,0.9999999999999993
sporNatural,0.038563217767807426,0.998700596996643,0.9989513599039719,0.9999961070264329,1.0000000000000002
divortialitate,0.8909400736576893,0.8937437056488644,0.9971941844827186,0.9998560316941761,0.9999999999999999
