,C1,C2,C3,C4,C5
mortalitate,-0.9674163644510048,-0.06497175210515116,-0.18541416738491423,-0.1550807316687561,-0.038154978952037316
nuptialitate,-0.9881338257279451,0.07672894172599845,-0.06585319608132352,0.033641952757728036,0.11061549409727392
natalitate,-0.9733973764822343,0.1330175923725019,-0.0639588238149754,0.16348519974941175,-0.0631326056489468
sporNatural,0.19637519641697987,0.9798660006494947,-0.015835495171571144,-0.032322548204945206,-0.0019730619775439454
divortialitate,-0.9438962197496552,0.05294933419010182,0.3216371850919202,-0.051593092671961174,-0.01199867933665023
